"DIFF";"R2";"R7";"R8";"R17";"R22";"R32"
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
